,Agency,Cost Type,2016,2017,2018,2019
Suffolk_Sheriff Fringe Benefit Costs,Suffolk_Sheriff,Fringe Benefits,32589930.78144694,32580778.623120613,30953926.715784777,30183220.765711978
Suffolk_Sheriff Capital Costs,Suffolk_Sheriff,Capital,571687.4199999999,187480.63,223467.37,93823.75
State_Police Payroll Costs,State_Police,Payroll,357898934.1300001,368665415.8700007,373201681.4400008,368083909.1250004
State_Police Non-Payroll Operating Costs,State_Police,Non-Payroll Operating,31973742.88999991,28617888.55999975,32748216.50000008,35268842.59999989
State_Police Pension Costs,State_Police,Pensions,82615835.01687269,87625456.19401228,93983707.22481239,104510631.05498318
State_Police Fringe Benefit Costs,State_Police,Fringe Benefits,138616020.21753052,141686715.68763164,133511482.2450095,126711890.61315179
State_Police Capital Costs,State_Police,Capital,12520882.409999998,14659379.060000002,15180496.359999988,15759787.920000002
MBTA Payroll Costs,MBTA,Payroll,28140924.0,27914160.0,28731767.045,33395630.39500002
MBTA Non-Payroll Operating Costs,MBTA,Non-Payroll Operating,0.0,0.0,0.0,0.0
MBTA Pension Costs,MBTA,Pensions,6902535.552575486,6955737.918193612,6943090.3903917,8076928.601784226
MBTA Fringe Benefit Costs,MBTA,Fringe Benefits,0.0,0.0,0.0,0.0
MBTA Capital Costs,MBTA,Capital,0.0,0.0,0.0,0.0
DAA Payroll Costs,DAA,Payroll,1031232.24,1023074.7250000001,1054174.475,1087785.7000000002
DAA Non-Payroll Operating Costs,DAA,Non-Payroll Operating,2768464.739999999,2751520.9299999997,2679983.4800000004,2774395.8600000017
DAA Pension Costs,DAA,Pensions,78378.95199922168,78976.34054106529,93746.0088339981,110430.6713126036
DAA Fringe Benefit Costs,DAA,Fringe Benefits,399392.2502024894,393182.7309074379,377118.0116591604,374460.637083481
DAA Capital Costs,DAA,Capital,0.0,0.0,0.0,0.0
MA Sheriff's Association Payroll Costs,MA Sheriff's Association,Payroll,244370.73,234981.225,242014.83000000002,222441.10499999998
MA Sheriff's Association Non-Payroll Operating Costs,MA Sheriff's Association,Non-Payroll Operating,114062.06999999996,89715.14999999998,82743.84999999996,79547.05999999995
MA Sheriff's Association Pension Costs,MA Sheriff's Association,Pensions,0.0,0.0,0.0,0.0
MA Sheriff's Association Fringe Benefit Costs,MA Sheriff's Association,Fringe Benefits,94643.8367155055,90306.75619268684,86577.84232693522,76573.38930991045
MA Sheriff's Association Capital Costs,MA Sheriff's Association,Capital,0.0,0.0,0.0,0.0
Parole_Board Payroll Costs,Parole_Board,Payroll,14879626.495000005,14123440.940000005,14447276.08,15573981.884999998
Parole_Board Non-Payroll Operating Costs,Parole_Board,Non-Payroll Operating,1499617.289999999,1320663.1700000002,1388778.359999998,1707042.4699999997
Parole_Board Pension Costs,Parole_Board,Pensions,5772484.565487129,6306730.170445043,6758994.795981095,7247381.039909622
Parole_Board Fringe Benefit Costs,Parole_Board,Fringe Benefits,5762821.678277468,5427847.001692973,5168336.132574779,5361205.960497266
Parole_Board Capital Costs,Parole_Board,Capital,0.0,0.0,0.0,806442.9999999999
CJT Payroll Costs,CJT,Payroll,3864718.8700000006,3564716.185,3516473.0,3770698.3049999997
CJT Non-Payroll Operating Costs,CJT,Non-Payroll Operating,1862384.8099999975,2078994.8899999969,1655397.8200000003,1712514.3300000008
CJT Pension Costs,CJT,Pensions,0.0,0.0,0.0,0.0
CJT Fringe Benefit Costs,CJT,Fringe Benefits,1496790.641348958,1369973.0921690431,1257975.1618565063,1298029.6482477214
CJT Capital Costs,CJT,Capital,0.0,0.0,0.0,0.0
Supreme_Judicial_Court Payroll Costs,Supreme_Judicial_Court,Payroll,8632678.684999999,8760520.900000002,8947646.009999998,9254353.325
Supreme_Judicial_Court Non-Payroll Operating Costs,Supreme_Judicial_Court,Non-Payroll Operating,21532259.580000002,22671810.210000042,22895973.47000002,26457208.52
Supreme_Judicial_Court Pension Costs,Supreme_Judicial_Court,Pensions,2175677.972164876,2305747.8175973436,2188637.4953701543,2270515.5307787596
Supreme_Judicial_Court Fringe Benefit Costs,Supreme_Judicial_Court,Fringe Benefits,3410200.270353457,3435557.9928180017,3266640.0896847234,3255813.323856965
Supreme_Judicial_Court Capital Costs,Supreme_Judicial_Court,Capital,649617.8099999999,169287.04,175149.5,0.0
Appeals_Court Payroll Costs,Appeals_Court,Payroll,11620387.454999994,11626037.274999997,12013239.959999993,12375680.369999992
Appeals_Court Non-Payroll Operating Costs,Appeals_Court,Non-Payroll Operating,757025.9899999996,502528.75999999966,657971.2399999993,607335.8600000001
Appeals_Court Pension Costs,Appeals_Court,Pensions,2951505.5378925623,3334400.549109794,3505983.980416687,3677631.971699708
Appeals_Court Fringe Benefit Costs,Appeals_Court,Fringe Benefits,4588820.108662589,4562777.128583762,4386107.671735777,4350926.78083971
Appeals_Court Capital Costs,Appeals_Court,Capital,0.0,0.0,0.0,0.0
Boston PD Payroll Costs,Boston PD,Payroll,373362553.8000001,389932425.4399997,403980309.8550011,416204303.37000084
Boston PD Non-Payroll Operating Costs,Boston PD,Non-Payroll Operating,31979757.929409146,37201468.16696066,46850723.19279373,48652531.01405519
Boston PD Pension Costs,Boston PD,Pensions,58118216.01523996,61540572.75021261,74642023.60183886,86716725.00843908
Boston PD Fringe Benefit Costs,Boston PD,Fringe Benefits,41008258.01645781,45976150.94434311,48907149.41793438,50663086.687320605
Boston PD Capital Costs,Boston PD,Capital,5441996.0,7909564.0,18625711.0,8502943.0
Chelsea PD Payroll Costs,Chelsea PD,Payroll,12165124.099999912,12770764.809999686,14734808.949999768,9685922.0
Chelsea PD Non-Payroll Operating Costs,Chelsea PD,Non-Payroll Operating,1050166.0,701295.76,710475.69,639385.29
Chelsea PD Pension Costs,Chelsea PD,Pensions,1492269.514699613,1584732.390709209,1667073.2300727435,1968070.244652509
Chelsea PD Fringe Benefit Costs,Chelsea PD,Fringe Benefits,1006639.6980423306,1193186.200853666,1128745.7279050509,1210009.8834822369
Chelsea PD Capital Costs,Chelsea PD,Capital,173000.0,164000.0,161438.91,0.0
Revere PD Payroll Costs,Revere PD,Payroll,9047062.0,9083601.0,9357467.0,9735336.0
Revere PD Non-Payroll Operating Costs,Revere PD,Non-Payroll Operating,1064650.0,1012450.0,979764.0,983764.0
Revere PD Pension Costs,Revere PD,Pensions,3491214.1040855413,3713579.673283477,3877992.8743776144,4042707.2019558684
Revere PD Fringe Benefit Costs,Revere PD,Fringe Benefits,5946834.922763249,6015305.43260267,6096194.852759638,6801382.032920311
Revere PD Capital Costs,Revere PD,Capital,718325.1181370715,702314.2487821181,601210.5292645965,0.0
Winthrop PD Payroll Costs,Winthrop PD,Payroll,2842909.0,2927191.0,3066911.0,3803402.0
Winthrop PD Non-Payroll Operating Costs,Winthrop PD,Non-Payroll Operating,194777.0,185439.0,224594.0,233533.0
Winthrop PD Pension Costs,Winthrop PD,Pensions,912028.7824529695,702707.0808752993,745260.9162790339,748358.573198602
Winthrop PD Fringe Benefit Costs,Winthrop PD,Fringe Benefits,794997.427431731,1188270.590503881,1108502.5134250815,1116049.007845001
Winthrop PD Capital Costs,Winthrop PD,Capital,0.0,39393.0,40000.0,0.0
